City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Kismayo,SO,2020-04-18 21:44:28,-0.36,42.55,83.37,78,100,9.26
71,New Norfolk,AU,2020-04-18 21:44:29,-42.78,147.06,44.01,87,60,2.44
72,Ushuaia,AR,2020-04-18 21:44:29,-54.8,-68.3,50.0,69,75,8.05
73,Taksimo,RU,2020-04-18 21:44:29,56.34,114.88,13.26,81,91,6.04
74,Hobart,AU,2020-04-18 21:40:04,-42.88,147.33,46.0,87,75,8.05
75,Tasiilaq,GL,2020-04-18 21:41:09,65.61,-37.64,33.8,80,100,14.99
76,Punta Arenas,CL,2020-04-18 21:39:54,-53.15,-70.92,53.6,46,40,19.46
77,Nhlangano,SZ,2020-04-18 21:44:30,-27.12,31.2,59.72,72,83,0.65
78,Longyearbyen,SJ,2020-04-18 21:42:24,78.22,15.64,28.4,74,20,2.24
79,San Quintin,MX,2020-04-18 21:44:30,30.48,-115.95,64.15,57,0,17.96
80,Carnarvon,AU,2020-04-18 21:44:31,-24.87,113.63,73.4,88,40,9.17
81,Upernavik,GL,2020-04-18 21:44:31,72.79,-56.15,24.46,90,100,23.78
82,Salalah,OM,2020-04-18 21:44:31,17.02,54.09,82.4,69,40,5.82
83,Castro,BR,2020-04-18 21:44:13,-24.79,-50.01,61.27,58,43,3.71
84,Yashiro,JP,2020-04-18 21:44:32,34.92,134.97,55.4,71,75,6.93
85,Vardo,NO,2020-04-18 21:41:43,70.37,31.11,36.14,82,91,19.93
86,Flin Flon,CA,2020-04-18 21:44:33,54.77,-101.86,23.0,41,20,16.11
87,Severo-Kurilsk,RU,2020-04-18 21:44:33,50.68,156.12,34.39,88,9,10.07
88,Manggar,ID,2020-04-18 21:44:34,-2.88,108.27,81.05,79,100,0.81
89,Bernalillo,US,2020-04-18 21:44:34,35.05,-106.67,69.01,13,75,12.75
90,Havre-Saint-Pierre,CA,2020-04-18 21:44:28,50.23,-63.6,35.6,55,1,9.17
91,Saint George,US,2020-04-18 21:44:35,37.1,-113.58,70.0,28,75,10.29
92,Tuktoyaktuk,CA,2020-04-18 21:44:35,69.45,-133.04,8.6,84,75,6.93
93,Comodoro Rivadavia,AR,2020-04-18 21:39:39,-45.87,-67.5,71.6,33,75,17.22
94,East London,ZA,2020-04-18 21:40:41,-33.02,27.91,71.22,66,0,17.54
95,Saint-Philippe,RE,2020-04-18 21:41:03,-21.36,55.77,75.2,78,10,9.17
96,Port-Gentil,GA,2020-04-18 21:40:46,-0.72,8.78,82.06,83,59,10.16
97,Sembakung,ID,2020-04-18 21:44:37,3.82,117.25,74.03,95,19,2.8
98,Tuatapere,NZ,2020-04-18 21:44:37,-46.13,167.68,46.4,83,54,4.81
99,Srednekolymsk,RU,2020-04-18 21:44:37,67.45,153.68,-5.55,90,77,9.55
100,Slave Lake,CA,2020-04-18 21:44:37,55.28,-114.77,39.2,64,1,5.82
101,Luis Correia,BR,2020-04-18 21:44:37,-2.88,-41.67,78.6,84,99,3.8
102,Jalu,LY,2020-04-18 21:44:38,29.03,21.55,68.88,28,0,5.12
103,Portland,US,2020-04-18 21:40:08,45.52,-122.68,54.0,76,90,10.29
104,Hithadhoo,MV,2020-04-18 21:44:38,-0.6,73.08,83.77,75,99,11.65
105,San Cristobal,VE,2020-04-18 21:42:10,7.77,-72.22,87.8,45,40,8.05
106,Talcahuano,CL,2020-04-18 21:40:04,-36.72,-73.12,62.6,88,20,10.29
107,Kushima,JP,2020-04-18 21:41:15,31.46,131.23,46.0,100,44,3.0
108,Bordei Verde,RO,2020-04-18 21:44:39,45.08,27.57,52.5,58,86,7.31
109,Mangan,IN,2020-04-18 21:44:40,27.52,88.53,63.25,40,96,5.77
110,Cayenne,GF,2020-04-18 21:44:40,4.93,-52.33,84.2,74,20,8.05
111,Kanye,BW,2020-04-18 21:44:40,-24.97,25.33,64.54,35,53,4.38
112,Sheregesh,RU,2020-04-18 21:44:40,52.92,87.99,33.91,68,0,3.83
113,Pisco,PE,2020-04-18 21:40:08,-13.7,-76.22,75.2,64,21,16.11
114,Avarua,CK,2020-04-18 21:39:42,-21.21,-159.78,80.6,74,54,5.82
115,Talnakh,RU,2020-04-18 21:44:41,69.49,88.4,37.4,74,100,29.08
116,Kochubey,RU,2020-04-18 21:44:41,44.39,46.58,53.98,56,96,5.55
117,Port Elizabeth,ZA,2020-04-18 21:44:41,-33.92,25.57,64.4,93,0,3.36
118,Olga,RU,2020-04-18 21:44:42,43.74,135.29,40.01,67,13,4.36
119,Saskylakh,RU,2020-04-18 21:40:37,71.92,114.08,8.49,79,0,5.37
120,Wenzhou,CN,2020-04-18 21:44:42,28.0,120.67,64.78,83,100,2.57
121,Ixtapa,MX,2020-04-18 21:42:15,20.7,-105.2,78.8,69,90,16.11
122,Ambatofinandrahana,MG,2020-04-18 21:44:42,-20.55,46.8,59.36,60,62,6.87
123,Sao Joao Da Barra,BR,2020-04-18 21:44:43,-21.64,-41.05,75.2,78,20,11.41
124,Lere,NG,2020-04-18 21:44:43,10.39,8.57,81.34,20,92,1.81
125,Bud,US,2020-04-18 21:44:43,39.45,-86.18,55.99,43,1,12.75
126,Nalut,LY,2020-04-18 21:44:43,30.33,10.85,80.1,21,8,22.57
127,Kefamenanu,ID,2020-04-18 21:44:44,-9.45,124.48,69.03,76,42,2.75
128,Sola,VU,2020-04-18 21:44:44,-13.88,167.55,82.83,78,85,12.12
129,Sur,OM,2020-04-18 21:44:44,22.57,59.53,82.44,57,28,6.85
130,Haapiti,PF,2020-04-18 21:44:44,-17.57,-149.87,87.8,66,53,3.36
131,Esperance,AU,2020-04-18 21:44:45,-33.87,121.9,59.0,100,75,13.87
132,Nikolskoye,RU,2020-04-18 21:44:46,59.7,30.79,37.4,91,75,13.42
133,Antofagasta,CL,2020-04-18 21:41:40,-23.65,-70.4,66.2,68,40,16.11
134,Blythe,US,2020-04-18 21:44:46,33.61,-114.6,80.01,22,1,5.82
135,Puerto Ayora,EC,2020-04-18 21:44:16,-0.74,-90.35,86.0,70,75,11.41
136,Tautira,PF,2020-04-18 21:39:50,-17.73,-149.15,87.8,66,78,3.36
137,Pishva,IR,2020-04-18 21:44:47,35.31,51.73,59.0,82,100,6.93
138,Torbay,CA,2020-04-18 21:44:47,47.67,-52.73,37.4,44,75,11.41
139,Wainwright,CA,2020-04-18 21:41:14,52.84,-110.86,33.64,67,83,11.07
140,Nantucket,US,2020-04-18 21:44:48,41.28,-70.1,39.99,93,90,25.28
141,Sakaiminato,JP,2020-04-18 21:44:48,35.55,133.23,53.6,81,75,5.82
142,Chumikan,RU,2020-04-18 21:40:24,54.72,135.31,21.51,90,100,9.04
143,Somerset East,ZA,2020-04-18 21:44:48,-32.72,25.59,62.89,27,0,4.54
144,Port Alfred,ZA,2020-04-18 21:44:49,-33.59,26.89,63.0,94,0,5.01
145,Sirari,TZ,2020-04-18 21:44:49,-1.23,34.43,62.42,66,100,2.57
146,Issenye,TZ,2020-04-18 21:44:49,-2.0,34.33,64.72,67,100,2.04
147,Champerico,GT,2020-04-18 21:44:49,14.3,-91.92,89.6,52,75,13.87
148,Goderich,CA,2020-04-18 21:44:50,43.75,-81.72,53.01,50,46,17.31
149,Yellowknife,CA,2020-04-18 21:44:33,62.46,-114.35,24.01,85,90,13.87
150,Trindade,BR,2020-04-18 21:44:50,-16.65,-49.49,69.8,94,75,2.24
151,Itacare,BR,2020-04-18 21:44:51,-14.28,-39.0,78.8,83,40,10.29
152,Irbeyskoye,RU,2020-04-18 21:44:51,55.64,95.45,34.21,81,71,8.3
153,Alofi,NU,2020-04-18 21:44:51,-19.06,-169.92,80.6,88,32,9.17
154,Saint-Augustin,CA,2020-04-18 21:44:51,51.23,-58.65,28.76,89,56,16.08
155,Union Hidalgo,MX,2020-04-18 21:44:51,16.47,-94.83,91.85,50,17,10.8
156,Pangnirtung,CA,2020-04-18 21:44:52,66.15,-65.71,7.84,86,99,1.03
157,Pokhara,NP,2020-04-18 21:44:52,28.23,83.98,62.33,34,35,4.09
158,Maniwaki,CA,2020-04-18 21:44:52,46.38,-75.97,48.24,45,53,9.48
159,Broken Hill,AU,2020-04-18 21:44:52,-31.95,141.43,46.4,61,12,2.57
160,Kaduy,RU,2020-04-18 21:44:52,59.2,37.15,31.6,93,88,3.51
161,Vredendal,ZA,2020-04-18 21:44:53,-31.67,18.5,67.44,41,44,5.79
162,Isangel,VU,2020-04-18 21:44:53,-19.55,169.27,79.59,81,85,10.49
163,Voh,NC,2020-04-18 21:44:53,-20.97,164.7,75.92,79,83,6.08
164,Baruun-Urt,MN,2020-04-18 21:44:53,46.68,113.28,38.32,44,79,12.41
165,Kaeo,NZ,2020-04-18 21:42:38,-35.1,173.78,63.0,95,83,3.0
166,Cururupu,BR,2020-04-18 21:44:54,-1.83,-44.87,78.84,88,95,4.0
167,Arawa,PG,2020-04-18 21:44:54,-6.21,155.54,81.01,75,95,1.81
168,Qasigiannguit,GL,2020-04-18 21:44:54,68.82,-51.19,24.8,79,100,5.82
169,Caceres,ES,2020-04-18 21:44:55,39.52,-6.37,57.99,75,82,3.06
170,Santa Rita,BR,2020-04-18 21:43:23,-7.11,-34.98,80.6,88,20,5.21
171,Kumo,NG,2020-04-18 21:44:55,10.04,11.21,91.69,10,95,4.36
172,Sao Filipe,CV,2020-04-18 21:44:55,14.9,-24.5,71.69,73,14,21.59
173,Zonguldak,TR,2020-04-18 21:44:55,41.25,31.83,50.54,59,0,4.07
174,Lagoa,PT,2020-04-18 21:40:38,39.05,-27.98,62.29,91,100,23.26
175,Xapuri,BR,2020-04-18 21:44:56,-10.65,-68.5,84.18,43,23,3.29
176,Bethel,US,2020-04-18 21:40:33,41.37,-73.41,42.01,86,90,6.93
177,Sorland,NO,2020-04-18 21:44:57,67.67,12.69,40.62,92,100,8.61
178,Iqaluit,CA,2020-04-18 21:44:57,63.75,-68.51,6.8,60,20,4.7
179,Dongsheng,CN,2020-04-18 21:44:57,39.82,109.98,38.14,55,15,13.15
180,Anshun,CN,2020-04-18 21:44:57,26.25,105.93,58.28,61,76,4.68
181,Ilulissat,GL,2020-04-18 21:44:58,69.22,-51.1,24.8,79,100,5.82
182,Marzuq,YE,2020-04-18 21:44:58,14.4,46.47,74.8,47,83,4.34
183,Kieta,PG,2020-04-18 21:44:58,-6.22,155.63,81.03,75,92,1.45
184,Lampa,CL,2020-04-18 21:44:58,-33.28,-70.9,82.4,28,38,11.41
185,Vanimo,PG,2020-04-18 21:44:58,-2.67,141.3,80.37,80,100,4.59
186,Luau,AO,2020-04-18 21:44:59,-10.71,22.22,66.04,70,88,1.39
